short_name,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
1600 world bier haus,0.0,0.007194244604316547,0.02158273381294964,0.02877697841726619,0.014388489208633094,0.050359712230215826,0.0,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.0,0.06474820143884892,0.0,0.02877697841726619,0.0,0.04316546762589928,0.0,0.014388489208633094,0.0,0.0,0.05755395683453238,0.0,0.0,0.0,0.0,0.1510791366906475,0.0,0.014388489208633094,0.02158273381294964,0.014388489208633094,0.0,0.0,0.0,0.0,0.02158273381294964,0.014388489208633094,0.02877697841726619,0.0,0.02877697841726619,0.04316546762589928,0.007194244604316547,0.05755395683453238,0.02877697841726619,0.007194244604316547,0.014388489208633094,0.03597122302158273,0.06474820143884892,0.0,0.014388489208633094,0.0,0.007194244604316547,0.0,0.04316546762589928,0.0
17th ave liquor boutique,0.0,0.7102425876010782,0.008086253369272238,0.0006738544474393531,0.0026954177897574125,0.0,0.0,0.0,0.00876010781671159,0.005390835579514825,0.0020215633423180594,0.0,0.0,0.03840970350404313,0.0,0.0033692722371967657,0.0,0.0,0.0,0.0006738544474393531,0.0,0.0,0.0047169811320754715,0.0,0.008086253369272238,0.05862533692722372,0.0,0.006064690026954178,0.014150943396226415,0.006064690026954178,0.0,0.0006738544474393531,0.0013477088948787063,0.0,0.0013477088948787063,0.0006738544474393531,0.0,0.0,0.02358490566037736,0.0,0.0,0.0,0.08692722371967655,0.0013477088948787063,0.0006738544474393531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033692722371967657,0.0020215633423180594
1886 buffalo,0.0,0.0,0.10555555555555556,0.06666666666666667,0.027777777777777776,0.2222222222222222,0.0,0.011111111111111112,0.0,0.016666666666666666,0.0,0.027777777777777776,0.0,0.03333333333333333,0.0,0.011111111111111112,0.0,0.0,0.005555555555555556,0.022222222222222223,0.016666666666666666,0.0,0.0,0.0,0.0,0.08888888888888889,0.03333333333333333,0.005555555555555556,0.011111111111111112,0.005555555555555556,0.0,0.0,0.0,0.0,0.005555555555555556,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.022222222222222223,0.011111111111111112,0.016666666666666666,0.016666666666666666,0.027777777777777776,0.0,0.011111111111111112,0.0,0.005555555555555556,0.0,0.08888888888888889,0.0
1886 buffalo cafe,0.0,0.0,0.011494252873563218,0.04597701149425287,0.011494252873563218,0.28735632183908044,0.0,0.09195402298850575,0.0,0.022988505747126436,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.011494252873563218,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.11494252873563218,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0
19 kitchen cooking nw,0.0,0.0,0.0,0.2916666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.020833333333333332,0.0,0.0,0.14583333333333334,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
1918 tap & table,0.0,0.024630541871921183,0.03940886699507389,0.04926108374384237,0.0049261083743842365,0.11822660098522167,0.0,0.04433497536945813,0.014778325123152709,0.009852216748768473,0.0,0.03940886699507389,0.0,0.029556650246305417,0.0,0.019704433497536946,0.0,0.0,0.0,0.024630541871921183,0.10837438423645321,0.0,0.0,0.0,0.0,0.12315270935960591,0.014778325123152709,0.0,0.014778325123152709,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.014778325123152709,0.0049261083743842365,0.0,0.0,0.0,0.0,0.059113300492610835,0.034482758620689655,0.0049261083743842365,0.034482758620689655,0.04433497536945813,0.0,0.0,0.019704433497536946,0.0,0.0049261083743842365,0.0,0.09359605911330049,0.0
2 for 1 pizza house,0.0,0.0,0.005942275042444821,0.022920203735144314,0.03395585738539898,0.0008488964346349745,0.0,0.0050933786078098476,0.0008488964346349745,0.0050933786078098476,0.0,0.08828522920203735,0.0,0.0,0.0,0.0025466893039049238,0.0,0.011035653650254669,0.0,0.0008488964346349745,0.0008488964346349745,0.0,0.0,0.0,0.0,0.001697792869269949,0.010186757215619695,0.22920203735144312,0.16723259762308998,0.0,0.0,0.0,0.0,0.0,0.010186757215619695,0.0050933786078098476,0.011884550084889643,0.0,0.0,0.2470288624787776,0.0,0.05432937181663837,0.0050933786078098476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050933786078098476,0.0,0.07470288624787776,0.0
241 pizza,0.0,0.0,0.041666666666666664,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.06018518518518518,0.0,0.0,0.0,0.013888888888888888,0.0,0.046296296296296294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.4212962962962963,0.0,0.1527777777777778,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0
2am liquor co inc,0.0,0.75177304964539,0.014184397163120567,0.0,0.0070921985815602835,0.0,0.0,0.0,0.014184397163120567,0.04964539007092199,0.0,0.0,0.0,0.014184397163120567,0.0,0.014184397163120567,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0425531914893617,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.04964539007092199,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0
4 corners,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
