short_name,skip_score,location_city,cussine_list
bikaner sweets house & restaurant,79,Calgary,Middle Eastern
bill's peking house,82,Calgary,Chinese
billoos indian cuisine,88,Calgary,Indian
binh minh kitchen & bar,75,Calgary,Vietnamese
bistro rouge,80,Calgary,French
black betty burger & wine bar,82,Calgary,Italian
black pearl,63,Calgary,Japanese
blanco cantina,80,Calgary,Mexican
blaze pizza,93,Calgary,Italian
blowfish sushi lounge,80,Calgary,Japanese
blue nile,80,Calgary,Ethiopian
blue ocean vietnamese restaurant,99,Calgary,Vietnamese
bobby chao's,77,Calgary,"Vietnamese, Chinese"
bocce pizzeria & bar,80,Calgary,Italian
bodega,88,Calgary,Mexican
bollywood spice fusion indian kitchen and bar,80,Calgary,Indian
bolsa vietnamese,96,Calgary,Vietnamese
bombay bakery & sweets,94,Calgary,Indian
bombay chowpatty,81,Calgary,Indian
bombay curry,80,Calgary,Indian
bombay spice restaurant,80,Calgary,Indian
bombay spice restaurant - just eat,75,Calgary,Indian
bombay spices,82,Calgary,Indian
bombay sweet house,80,Calgary,Indian
bon-ga korean restaurant,75,Calgary,Korean
bonasera pizza & sports bar,97,Calgary,Italian
bonasera pizza restaurant,97,Calgary,Italian
bonavista peking house,97,Calgary,Chinese
bori korean restaurant,90,Calgary,"Korean, Japanese"
borobudur resto,80,Calgary,Korean
boss is very busy restaurant,80,Calgary,Chinese
boston pizza,95,Calgary,Italian
bow river vietnamese restaurant,96,Calgary,Vietnamese
bowness convenience,88,Calgary,Convenience
bravo restaurant,100,Calgary,Mexican
breizh bistrot,80,Calgary,French
bridgeland shawarma,93,Calgary,Mediterranean
broken plate greek restaurant yyc,99,Calgary,Mediterranean
brother's taste of asia,99,Calgary,Chinese
brothers kitchen,81,Calgary,Ethiopian
bubble sushi,80,Calgary,Japanese
buddha's veggie,82,Calgary,Chinese
buffet yangtze,80,Calgary,Chinese
bun mee vietnamese subs,75,Calgary,Vietnamese
buon giorno ristorante italiano,67,Calgary,Italian
burrito bowl,72,Calgary,Mexican
buster's pizza & donair,84,Calgary,Italian
butter chicken house,72,Calgary,Indian
butter chicken hut,95,Calgary,Indian
butter chicken hut and indian cuisine,99,Calgary,"Mediterranean, Indian, Italian"
bình vietnamese restaurant,92,Calgary,Vietnamese
ca'puccini pizza,78,Calgary,Italian
cabeza grande bridgeland,89,Calgary,Mexican
cafe 100%,97,Calgary,Chinese
cafe med,94,Calgary,"Mediterranean, Middle Eastern"
cafe med restaurant & shisha lounge,93,Calgary,Middle Eastern
cafe momoko korean restaurant,78,Calgary,Korean
calavera cantina,83,Calgary,Mexican
calcutta cricket club,81,Calgary,Indian
calgary court restaurant,79,Calgary,Chinese
calgary hot plate restaurant,80,Calgary,Indian
calgary momo house,74,Calgary,Chinese
calgary shawarma,94,Calgary,Mediterranean
calgary shawarma restaurant,78,Calgary,"Mediterranean, Middle Eastern"
california thai,92,Calgary,"Vietnamese, Thai"
caltons chinese restaurant,91,Calgary,"Chinese, Thai"
calypso's taverna,78,Calgary,Mediterranean
canadian pizza unlimited,92,Calgary,Italian
canadian pizza unlimited - abbeydale,80,Calgary,"Indian, Italian"
canco,72,Calgary,Convenience
canelos ice cream,80,Calgary,Mexican
canterra cafe,80,Calgary,Chinese
caodu,80,Calgary,Chinese
cardinale,82,Calgary,Italian
caribbean choice food,81,Calgary,Caribbean
carino,72,Calgary,Italian
carmine's pizzeria,100,Calgary,Italian
carnitas el patron,75,Calgary,Mexican
catalina pizza & chicken,83,Calgary,Italian
cattlebaron steakhouse - royal oak,99,Calgary,Mediterranean
cedars deli,91,Calgary,"Mediterranean, Middle Eastern"
ceili's,80,Calgary,Mexican
centex go market,80,Calgary,Convenience
centini restaurant & lounge,80,Calgary,Italian
central grand restaurant,98,Calgary,Chinese
centre one,80,Calgary,Chinese
centre point grocery,75,Calgary,Convenience
centre street japanese hot pot,72,Calgary,Japanese
centre street japanese hotpot,80,Calgary,Japanese
cha cha's cafe and restaurant,80,Calgary,"African, Indian"
chai pani,93,Calgary,Indian
chai pani chestermere,80,Calgary,Indian
charbar,90,Calgary,Spanish
charcuterie vegan deli,73,Calgary,Italian
chat house,92,Calgary,Indian
chatkhara,80,Calgary,Indian
cheezy tales,92,Calgary,Korean
chef tian restaurant,80,Calgary,Chinese
chen's dumplings,80,Calgary,Vietnamese
chennai dosai,80,Calgary,Indian
chennai spices,86,Calgary,Indian
cheung's kitchen,80,Calgary,Chinese
chewgurt yummy,93,Calgary,Chinese
chi lan vietnamese restaurant,86,Calgary,Vietnamese
chiang mai thai food,72,Calgary,"Chinese, Thai"
chianti cafe,85,Calgary,Italian
chianti cafe & restaurant,91,Calgary,Italian
chicago deep dish pizza,97,Calgary,Italian
chicken family,93,Calgary,Korean
chicken haus,80,Calgary,Korean
chicken khurana,74,Calgary,Indian
chicking.yyc ramen shop,91,Calgary,Chinese
chili club thai house,90,Calgary,Thai
chili garden chinese and thai,67,Calgary,"Chinese, Thai"
chili island,98,Calgary,"Chinese, Thai"
chilitos taberna mexicana,94,Calgary,Mexican
chilitos taqueria,93,Calgary,Mexican
chimac restaurant,75,Calgary,Korean
china palace restaurant,87,Calgary,Chinese
china rose,82,Calgary,Chinese
china taste,72,Calgary,Chinese
chine hot pot & noodles,83,Calgary,"Korean, Chinese, Vietnamese, Thai"
chinese cultural centre cuisine,94,Calgary,Chinese
chinese takeout 25,81,Calgary,Chinese
chinese village restaurant,80,Calgary,Chinese
cho's sushi,91,Calgary,Japanese
choice's,80,Calgary,Vietnamese
choices crowfoot,76,Calgary,Vietnamese
chorizo fresh mex,87,Calgary,"Mexican, Latin American"
christos greek,80,Calgary,Mediterranean
cibo,89,Calgary,Italian
cilantro,75,Calgary,Italian
cinnamon indian cuisine and bar,80,Calgary,Indian
circle k,74,Calgary,Convenience
classy pizza 786,85,Calgary,"Indian, Middle Eastern"
clay oven,92,Calgary,Indian
clay oven calgary,82,Calgary,Indian
clay pot asian food kitchen,92,Calgary,Chinese
clay pot rice,93,Calgary,Chinese
clubhouse family restaurant,80,Calgary,Korean
co do vietnamese,97,Calgary,Vietnamese
coco fresh tea juice,97,Calgary,Chinese
coco's ice cream,80,Calgary,Thai
conmi taco,82,Calgary,Mexican
connie and john's italian,80,Calgary,Italian
copper branch,88,Calgary,Mediterranean
cordial convenience,88,Calgary,Convenience
costa vida,92,Calgary,Mexican
cotto italian comfort food,80,Calgary,Italian
cowboy's tap house pub,66,Calgary,Italian
cravings market restaurant,83,Calgary,Italian
crepe delicious,96,Calgary,French
creteus greek food,80,Calgary,Mediterranean
crispy crust pizzeria,98,Calgary,Italian
crowfoot thai,86,Calgary,Thai
crunchy house,90,Calgary,"Korean, Vietnamese"
cubano's,80,Calgary,Latin American
cucina,72,Calgary,Italian
curry & biryani house,80,Calgary,Indian
curry box by indian cloud kitchens,80,Calgary,Indian
curry craft,95,Calgary,Indian
curry n crust,94,Calgary,"Mediterranean, Indian"
curry n crust east indian cuisine,92,Calgary,Indian
curry night,92,Calgary,Indian
curry queens,80,Calgary,Indian
cuty restaurant - asian street food,72,Calgary,Vietnamese
cuty vietnamese kitchen,84,Calgary,Vietnamese
d2ue kitchen and chocolate bar,75,Calgary,Middle Eastern
daddy's kitchen,80,Calgary,Mexican
dagu rice noodle,93,Calgary,Chinese
damas cafe,74,Calgary,Mediterranean
damascus,97,Calgary,"Mediterranean, Middle Eastern"
dark table restaurant,80,Calgary,Middle Eastern
darwin's charcoal bbq chicken,83,Calgary,Filipino
dba centex airways,80,Calgary,Convenience
dba one stop convenience,80,Calgary,Convenience
dc groceries - indian grocery store,85,Calgary,"Convenience, Indian"
dc pizza,81,Calgary,Indian
dc pizza bistro,90,Calgary,"Indian, Middle Eastern"
de minico's,75,Calgary,Italian
de thai cuisine,99,Calgary,"Chinese, Thai"
deep & square pizza,82,Calgary,Italian
deep fried master,80,Calgary,Chinese
deepak's dhaba,92,Calgary,Indian
delhi belly,81,Calgary,Indian
delhi express,74,Calgary,"Chinese, Indian"
delice curry house,80,Calgary,"Indian, Middle Eastern"
delicious thai - just eat,75,Calgary,Thai
delicious thai restaurant,91,Calgary,Thai
dell cafe,96,Calgary,Chinese
demetris pizza,93,Calgary,Italian
desi junction,92,Calgary,Indian
divine meals,80,Calgary,African
diwan arabian cuisine and lounge,89,Calgary,Middle Eastern
dixon's public house,85,Calgary,Italian
dl eats,87,Calgary,Chinese
dnc - lac viet vietnamese restaurant,97,Calgary,Vietnamese
doaba meat shop & take-out restaurant,96,Calgary,Indian
dollar plus convenience store,80,Calgary,Convenience
don's restaurant,91,Calgary,"Vietnamese, Chinese"
donair choices cafe halal,80,Calgary,"Vietnamese, Middle Eastern"
donair grill,83,Calgary,"Mediterranean, Middle Eastern"
donair hut,80,Calgary,"Mediterranean, Middle Eastern"
donair palace,80,Calgary,"Mediterranean, Middle Eastern"
donair station,75,Calgary,"Mediterranean, Middle Eastern"
donburi japanese cuisine,94,Calgary,Japanese
dong phuong,80,Calgary,Chinese
dosa garden,85,Calgary,Indian
dosirak,100,Calgary,"Chinese, Thai"
dostana calgary,80,Calgary,Indian
doughlicious,94,Calgary,Middle Eastern
doughlicious bakery,80,Calgary,Mediterranean
douglas peking express,96,Calgary,Chinese
dover pizza steak house & lounge,81,Calgary,"Mediterranean, Indian, Middle Eastern"
dragon boat authentic vietnamese & street food restaurant,79,Calgary,Vietnamese
dragon dynasty chinese restaurant,86,Calgary,Chinese
dragon garden,91,Calgary,Chinese
dragon gate restaurant,89,Calgary,Chinese
dragon pearl restaurant,100,Calgary,Chinese
dragon's lair burger co.,93,Calgary,Mexican
dreamery,80,Calgary,Japanese
dumka indian cuisine,78,Calgary,Indian
east african store,80,Calgary,African
east indian restaurant,80,Calgary,Indian
east side mario's,86,Calgary,Italian
eastern fortune restaurant,87,Calgary,Chinese
eastern treasures,81,Calgary,Chinese
eastside banh mi,80,Calgary,Vietnamese
eat - eighth avenue trattoria,93,Calgary,Italian
eat at will,80,Calgary,Indian
eat-a-pita,92,Calgary,Middle Eastern
eats of asia,80,Calgary,Korean
ec fusion + lounge,80,Calgary,"African, Ethiopian"
edo japan,95,Calgary,Japanese
el charrito taqueria,82,Calgary,Mexican
el greco market cafe,77,Calgary,Mediterranean
el padrino restaurant,85,Calgary,Mexican
el rouhaa pita bakery,80,Calgary,Middle Eastern
emerald garden peking & seafood,93,Calgary,Chinese
emerald palace,87,Calgary,Chinese
empire cafe & lounge,80,Calgary,Mediterranean
empress palace restaurant & buffet,88,Calgary,Chinese
enjoy house chinese,16,Calgary,Chinese
espresso cafe,72,Calgary,French
essence of saigon-chinook|express-vietnamese pho restaurant,91,Calgary,Vietnamese
essence of saigon-northland|bistro-vietnamese pho restaurant,98,Calgary,Vietnamese
etaspice,80,Calgary,African
expatasia,93,Calgary,Indian
f.s.w chou restaurant,75,Calgary,Chinese
fabs convenience store,80,Calgary,Convenience
fairmont grill,80,Calgary,"Mediterranean, Middle Eastern"
faisal kabab hut,88,Calgary,Indian
family convenience store,85,Calgary,Convenience
famoso,90,Calgary,Italian
famous wok,91,Calgary,Chinese
fancy taste of china,87,Calgary,Chinese
far east foods,93,Calgary,Chinese
farooj king,80,Calgary,Mediterranean
fatima karahi corner,87,Calgary,Indian
feast of india,96,Calgary,"Indian, Middle Eastern"
fiesta market and restaurant,92,Calgary,Mexican
fire n ice bar & sheesha lounge,77,Calgary,Mexican
fish and rice,80,Calgary,"Mexican, Korean"
five dollar drive in,80,Calgary,"Indian, Middle Eastern"
flame mountain bbq,76,Calgary,Chinese
flying bowl,80,Calgary,Korean
folabab's convenience,93,Calgary,Convenience
foo asian street food,80,Calgary,"Indian, Thai"
forbidden city dim sum and seafood,96,Calgary,Chinese
foreign concept,76,Calgary,Vietnamese
fortune one chinese restaurant,93,Calgary,Chinese
fradu cafe south african bbq,91,Calgary,African
fresh blend coffee and sandwich bar,80,Calgary,Korean
fresh selects deli,80,Calgary,Korean
"fresh-adilla, fresh tortilla",80,Calgary,Mexican
fresh-adilla/deerfoot cafe,97,Calgary,"Mexican, Latin American"
freshslice pizza,96,Calgary,Mediterranean
friend's pizza & pasta ltd,95,Calgary,Italian
friends ethiopian food,83,Calgary,"African, Ethiopian"
friends pizza,80,Calgary,"Indian, Italian"
fritou chicken & pizza,82,Calgary,Italian
fritou chicken skyview,85,Calgary,Indian
frutta gala,99,Calgary,Chinese
fuji ramen and sushi,92,Calgary,Japanese
fuji yama,82,Calgary,Japanese
full circle pizza and oyster bar,80,Calgary,Italian
fusion corner pizza & sandwiches,80,Calgary,Italian
fusion sushi,79,Calgary,Japanese
fusion sushi - just eat,75,Calgary,Chinese
fusion sushi 17 ave.,95,Calgary,Chinese
fuwa fuwa,80,Calgary,Japanese
fuwa fuwa japanese pancakes,94,Calgary,Japanese
g-mart,74,Calgary,Convenience
gachi,80,Calgary,Japanese
gaga pizzeria,82,Calgary,Italian
gagana ramen,90,Calgary,Japanese
garcha bros meat shop & poultry,88,Calgary,Indian
garden of italy,89,Calgary,Italian
gate of india,80,Calgary,Indian
gaucho brazilian bbq,94,Calgary,Latin American
gaucho brazilian bbq - just eat,75,Calgary,Latin American
gaya sushi and ramen,77,Calgary,Japanese
gcp indian cuisine,96,Calgary,"Mediterranean, Indian, Italian"
gcp sage hill,82,Calgary,"Mediterranean, Italian"
geez ethiopian and eritrean cuisine inc.,85,Calgary,"African, Ethiopian"
george's beach club,80,Calgary,Vietnamese
getta pizza,80,Calgary,Italian
ghost donair,82,Calgary,Mediterranean
gillz grill,80,Calgary,Indian
ginger beef bistro house,94,Calgary,Chinese
ginger beef express,89,Calgary,Chinese
ginger beef peking house,95,Calgary,Chinese
ginza sushi & grill japanese restaurant,74,Calgary,Japanese
glass restaurant,80,Calgary,Italian
globefish chinook,87,Calgary,Japanese
globefish japanese bistro,82,Calgary,Japanese
globefish sushi and izakaya,90,Calgary,Japanese
glory of india,82,Calgary,"Indian, Middle Eastern"
go-go kitchen,81,Calgary,"Indian, Middle Eastern"
go-go mediterranean,92,Calgary,Mediterranean
gogi korean bbq,89,Calgary,Korean
gogi korean kitchen,98,Calgary,Korean
goginara korean street bbq,80,Calgary,Korean
gogo chicken,99,Calgary,"Korean, Japanese"
gogo mediterranean,72,Calgary,Mediterranean
gojo takeout & bakery,92,Calgary,"African, Ethiopian"
gold bistro chinese restaurant,86,Calgary,Chinese
golden bell 17 ave. sw,95,Calgary,Vietnamese
golden bell bridgeland,97,Calgary,Vietnamese
golden bell saigon,82,Calgary,Vietnamese
golden bell vietnamese restaurant,97,Calgary,Vietnamese
golden cactus mexican grill,74,Calgary,Mexican
golden gate,97,Calgary,Chinese
golden happiness bakery,80,Calgary,Chinese
golden inn,74,Calgary,Chinese
golden joy express,80,Calgary,Chinese
golden moon chinese food,93,Calgary,Chinese
golden moon chinese food - just eat,75,Calgary,Chinese
golden national family restaurant,91,Calgary,Chinese
golden sands chinese seafood restaurant,82,Calgary,Chinese
golden top vietnamese,80,Calgary,Vietnamese
golden village,80,Calgary,Chinese
golden village restaurant,80,Calgary,Chinese
golden west,80,Calgary,Chinese
golden west restaurant,98,Calgary,Chinese
gondola pizza,75,Calgary,Italian
gong kee bbq noodle house,94,Calgary,"Vietnamese, Chinese"
good bread retail,96,Calgary,Convenience
goro + gun,85,Calgary,Japanese
grace of india,84,Calgary,Indian
great canadian pizza and shawarma,98,Calgary,"Mediterranean, Indian, Italian"
great canadian shawarma,80,Calgary,"Mediterranean, Middle Eastern"
great pizza and restaurant,80,Calgary,Middle Eastern
great pizza unlimited,80,Calgary,Middle Eastern
great taste,86,Calgary,"Chinese, Japanese"
great taste chinese cuisine,94,Calgary,Chinese
greek greek wraps and bowls,74,Calgary,Mediterranean
greek next door,93,Calgary,"Mediterranean, Italian"
greektown,80,Calgary,Mediterranean
green bottle kitchen & soju,93,Calgary,Korean
green chili,92,Calgary,Indian
green cilantro,72,Calgary,Vietnamese
greenfish,93,Calgary,Japanese
greta global street food,93,Calgary,"Korean, Japanese"
gringo street,91,Calgary,"Mexican, Latin American"
gully st,72,Calgary,Indian
guru india,74,Calgary,"Chinese, Indian"
gusto italian,80,Calgary,Italian
gyu-kaku japanese bbq,90,Calgary,Japanese
h & j bistro,80,Calgary,Chinese
ha long bay vietnamese cuisine,80,Calgary,Vietnamese
ha long bay vietnamese cuisines,90,Calgary,Vietnamese
haandi indian cuisine,94,Calgary,Indian
habebe's,78,Calgary,"Mediterranean, Middle Eastern"
habesha ethiopian restaurant,93,Calgary,Ethiopian
habibi shawarma,80,Calgary,Mediterranean
halal biryani,80,Calgary,"Indian, Middle Eastern"
han corea,97,Calgary,Korean
han's restaurant,80,Calgary,Chinese
hana sushi,93,Calgary,Japanese
hanbo korean noodle,92,Calgary,Korean
hankki korean street food,99,Calgary,Korean
hankook chicken,99,Calgary,"Korean, Japanese"
hapa izakaya,80,Calgary,Japanese
hapa izakaya - just eat,75,Calgary,Japanese
happee peeps,90,Calgary,Filipino
happy lamb hot pot,82,Calgary,Chinese
happy veggie house,93,Calgary,"Vietnamese, Chinese, Thai"
harmony restaurant and bar,91,Calgary,Mediterranean
haru sushi & grill,80,Calgary,Japanese
haru sushi bar,91,Calgary,Japanese
harvest convenience,93,Calgary,Convenience
haveli sweets,80,Calgary,Indian
hayat shawarma,75,Calgary,"Mediterranean, Middle Eastern"
heart of saigon,82,Calgary,Vietnamese
hearts choices,72,Calgary,Thai
hearts choices cafe market,93,Calgary,Thai
hearts choices thai vegan cafe,82,Calgary,Thai
heaven artisan gf,95,Calgary,"Italian, Mexican, Spanish, Latin American, Thai"
heaven artisan gf - just eat,75,Calgary,"Italian, Thai"
hermanos peri peri,80,Calgary,Indian
hey! i am yogost,93,Calgary,Chinese
hi-ball restaurant,88,Calgary,Chinese
homey food,86,Calgary,"Vietnamese, Thai"
honest fast food,80,Calgary,Indian
hong an vietnamese cuisine,98,Calgary,Vietnamese
hong an vietnamese cuisine-dnu-,80,Calgary,Vietnamese
hong chou inn,89,Calgary,Chinese
hong kong garden restaurant,98,Calgary,Chinese
horizons bistro,80,Calgary,Italian
hot million indian cuisine,86,Calgary,Indian
hot point fusion cafe,72,Calgary,"Korean, Chinese, Japanese, Thai"
hot wok cafe,81,Calgary,Chinese
hot wok express,81,Calgary,Chinese
house of eat and drink restaurant,93,Calgary,"Vietnamese, Chinese"
house of kabob,79,Calgary,Middle Eastern
house of mandi,93,Calgary,"Indian, Middle Eastern"
hue thuong,87,Calgary,Vietnamese
hula poke,80,Calgary,Japanese
hurry curry,99,Calgary,Indian
hy's steakhouse & cocktail bar,86,Calgary,Mediterranean
hyderabad biryani indian restaurant,80,Calgary,Indian
hyderabad house,73,Calgary,Indian
hyderabadi kitchen,73,Calgary,Indian
ibaoza,93,Calgary,Chinese
ichi rock japanese restaurant,86,Calgary,Japanese
ikusa izakaya & tokyo market,99,Calgary,Japanese
il centro,89,Calgary,Italian
imperial dynasty restaurant,98,Calgary,Chinese
imperial shawarma,98,Calgary,Middle Eastern
incha,93,Calgary,Japanese
india palace restaurant & sweets,94,Calgary,Indian
india restaurant,93,Calgary,"Chinese, Indian"
indian accent - kitchen and bar,89,Calgary,"Chinese, Indian"
indian curry hut,94,Calgary,Indian
indian express yyc,80,Calgary,Indian
indian flavors,94,Calgary,Indian
indian kitchen,87,Calgary,Indian
indian kitchen strathcona,100,Calgary,Indian
indian kitchen vegetarian & vegan restaurant,93,Calgary,Indian
indian masala bistro,100,Calgary,Indian
indian ocean,86,Calgary,Indian
indian tales,84,Calgary,Indian
indian tavern kitchen & bar,84,Calgary,Indian
indian to go,80,Calgary,Indian
indie counterculture - legit indian street food & curry,100,Calgary,Indian
indique fine indian cuisine,97,Calgary,Indian
ins market (sunridge mall),79,Calgary,Convenience
insadong korean bbq restaurant,86,Calgary,"Korean, Chinese"
international kitchen,85,Calgary,"Mexican, Middle Eastern"
involtini ristorante,75,Calgary,Italian
ishtar restaurant,80,Calgary,"Indian, Middle Eastern"
istanbul doner,80,Calgary,Mediterranean
itoko sushi,96,Calgary,Japanese
izumi kitchen & bar,98,Calgary,"Korean, Japanese"
jackie's thai,83,Calgary,Thai
jacqueline's bistro - calgary,80,Calgary,"Indian, Italian"
jade garden chinese restaurant,97,Calgary,Chinese
jaffa shawarma,75,Calgary,Middle Eastern
jaja cafe,82,Calgary,Ethiopian
japanese village,83,Calgary,Japanese
jasmine restaurant,80,Calgary,"Mediterranean, Middle Eastern"
jia jia asian street food & bar,94,Calgary,Vietnamese
jianghu asian food,80,Calgary,Chinese
jimmy's a&a mediterranean deli,90,Calgary,"Indian, Middle Eastern"
jinbar,90,Calgary,Korean
jinya ramen bar,91,Calgary,Japanese
jj's neighbourhood pub,80,Calgary,Italian
john wong's chinese restaurant,94,Calgary,Chinese
jojo's wings,93,Calgary,Chinese
jolly good chinese and thai food,85,Calgary,"Chinese, Thai"
jordan valley shawarma,81,Calgary,Middle Eastern
jorge's burritos,91,Calgary,Mexican
joyce on 4th pub,94,Calgary,Italian
joycee's caribbean food,80,Calgary,Caribbean
jps indian bistro,79,Calgary,Indian
jsk indian restaurant,80,Calgary,"Chinese, Indian, Middle Eastern"
juk african & caribbean food store,78,Calgary,"African, Caribbean"
juliet's castle sports lounge,80,Calgary,Italian
jun katsu,97,Calgary,Japanese
"junction - food, stage, bar",80,Calgary,"Indian, Middle Eastern"
jusbubble cafe,89,Calgary,Convenience
jusbubble pot,80,Calgary,Japanese
jusfruit,96,Calgary,"Chinese, Japanese"
k street food,97,Calgary,"Korean, Chinese, Japanese"
k town fried chicken,95,Calgary,Korean
k&b noodle house,80,Calgary,"Vietnamese, Chinese"
k-one bubble tea and snacks,94,Calgary,Chinese
k-thi vietnamese cuisine,94,Calgary,Vietnamese
kabob fusion,95,Calgary,Indian
kabob garden - afghan kitchen,88,Calgary,"Indian, Middle Eastern"
