short_name,number_of_orders,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
jane bond bbq,321,0.0,0.003110419906687403,0.08398133748055987,0.2643856920684292,0.017107309486780714,0.0,0.0,0.06998444790046657,0.04821150855365474,0.04043545878693624,0.006220839813374806,0.03110419906687403,0.0,0.14152410575427682,0.0,0.0015552099533437014,0.0,0.041990668740279936,0.0,0.0,0.03265940902021773,0.0,0.0,0.0,0.0,0.012441679626749611,0.02177293934681182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027993779160186624,0.0,0.0,0.041990668740279936,0.03110419906687403,0.003110419906687403,0.0,0.07620528771384137,0.0,0.0,0.0,0.0,0.003110419906687403,0.0,0.0,0.0
jane bond bbq south,7,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jane bond bbq urban,4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
japanese village,272,0.0,0.0,0.0,0.0,0.02612704918032787,0.01331967213114754,0.0,0.0,0.0,0.0,0.0,0.07889344262295082,0.0,0.08094262295081968,0.0,0.0,0.0,0.07223360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005122950819672131,0.0,0.0,0.0,0.4984631147540984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05327868852459016,0.0,0.07735655737704918,0.0,0.0,0.08094262295081968,0.0,0.0,0.0,0.01331967213114754,0.0
jasmine restaurant,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.35294117647058826,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
javino coffee and wine bar,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.10869565217391304,0.0,0.06521739130434782,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.021739130434782608,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0
jazz liquor cornerstone,3453,0.0,0.6735294117647059,0.0014705882352941176,0.0004901960784313725,0.000980392156862745,0.0,0.0,0.0,0.014705882352941176,0.15245098039215688,0.0004901960784313725,0.0,0.000980392156862745,0.06323529411764706,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0004901960784313725,0.0,0.0,0.0004901960784313725,0.0,0.0,0.02107843137254902,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.004411764705882353,0.0,0.0,0.0,0.0,0.0,0.05784313725490196,0.0,0.0,0.0,0.00196078431372549,0.0,0.0,0.0014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jelly modern doughnuts,357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jerusalem shawarma,33526,0.0,0.0,0.0,0.016680380652547223,0.1331747281053234,0.0007244562106468232,0.0,0.0,0.0,0.003470234688036634,0.0,0.13067043503148254,0.0,0.004328849456210647,0.0,0.0,0.0,0.02322731825987407,0.0,0.0,0.00036670005724098454,0.0,0.0,0.0,0.0,0.021107613050944475,0.0,2.6831711505437895e-05,0.0,0.0,0.0,0.0,0.011931167716084717,0.0,0.017431668574699483,0.0,0.412805881511162,0.0,0.0,0.0,0.0,0.0,0.0,0.00871136233543217,0.20860761305094447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006734759587864911,0.0
jia jia asian street food & bar,462,0.0,0.0,0.03824978267168937,0.04810199942045784,0.02781802376122863,0.017965807012460158,0.015647638365691104,0.0037670240509997104,0.014778325123152709,0.0049261083743842365,0.0,0.038539553752535496,0.012170385395537525,0.04143726456099681,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.007244277021153289,0.0,0.0,0.0,0.0,0.032164589973920604,0.0,0.0,0.0,0.026658939437844104,0.01303969863807592,0.0,0.007244277021153289,0.0,0.0,0.0,0.0,0.02578962619530571,0.0,0.0,0.021443059982613734,0.019124891335844683,0.011011301072153,0.0825847580411475,0.0,0.01854534917415242,0.02434077079107505,0.0,0.0,0.0,0.0,0.012170385395537525,0.015647638365691104,0.4146624166908143
